Organisation;Location;Detail;Rocket_Status;Mission_Status;Propellant;Thrust;Payload_to_LEO;Dry_Mass;Size
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | Starlink V1 L9 & BlackSky;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Gaofen-9 04 & Q-SAT;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 541 | Perseverance;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-15;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-101, Wenchang Satellite Launch Center, China;Long March 5 | Tianwen-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | ANASIS-II;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | Apstar-6D;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Shiyan-6 02;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Gaofen Duomo & BY-02;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | GPS III SV03;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Beidou-3 G3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 2C | Haiyang-1D;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Starlink V1 L7;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Gaofen-9-02 & HEAD-4;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | SpaceX Demo-2;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Xichang Satellite Launch Center, China;Long March 11 | XJS-G and XJS-H;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | Cosmos 2546;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 501 | OTV-6 (USSF-7);StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-101, Wenchang Satellite Launch Center, China;Long March 5B | Test Flight (New Crew Capsule);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-14;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | Starlink V1 L6;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Nusantara Dua;StatusActive;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Soyuz MS-16;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | AEHF 6;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Yaogan-30-06;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1b/Fregat | OneWeb #3;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
